player,PPG,RPG,APG,SPG,BPG,TOV,TS_pct,FG_pct,FT_pct,MPG,GP,seasons,first,last,era,league_TS,TS_plus,pace,P100,o_dpm,d_dpm,dpm,onoff,rTS,PtsCreated,P100_db,pt_adj_rTS,playtype_diff,db_seasons,L1_score,L1_rank,cluster,Tier
Hakeem Olajuwon,21.0056,10.8389,2.4056,1.7167,2.9944,2.8944,0.5454,0.5067,0.7017,35.15,1238,18,1984-85,2001-02,1980-90s,0.535,1.0194,95,22.11,-2.03,2.735,0.705,0.836,-1.9,12.106,20.254,,,2.0,0.09772540973254465,43,3,3
Chris Bosh,19.3923,8.4385,2.0462,0.8154,1.0154,2.0308,0.5692,0.4916,0.7955,35.7231,893,13,2003-04,2015-16,2000s,0.535,1.0639,93,20.85,1.328,0.945,2.276,5.192,2.977,24.104,28.488,3.567,0.649,13.0,0.09537368203897,44,3,3
Alex English,20.7824,5.7706,3.5118,0.8941,0.7235,2.5625,0.5436,0.5028,0.8179,31.6118,1271,17,1976-77,1990-91,1980-90s,0.535,1.0161,95,21.88,,,,,,,,,,,0.09263513651969466,45,2,1
Paul Pierce,18.9316,5.4368,3.3579,1.2579,0.5316,2.5368,0.5654,0.4416,0.8049,33.1895,1343,19,1998-99,2016-17,2000s,0.535,1.0568,93,20.36,2.714,0.618,3.331,6.204,3.254,28.231,29.518,1.333,0.056,16.0,0.061795049207145375,46,3,3
Elgin Baylor,25.2786,12.5929,3.9429,1.1663999999999999,0.6007,2.6348,0.4909,0.4306,0.7725,38.4214,846,14,1958-59,1971-72,1950-60s,0.48,1.0227,120,21.07,,,,,,,,,,,0.05951215737098807,47,4,5
Rick Barry,23.07,6.49,5.05,1.9857,0.4714,2.4333,0.5088,0.4471,0.9096,36.2,794,10,1965-66,1979-80,1970s,0.51,0.9976,107,21.56,,,,,,,,,,,0.0551437972876247,48,0,4
Kevin McHale,17.8692,7.3231,1.7615,0.3538,1.7,1.9462,0.5971,0.5484,0.7913,31.0154,971,13,1980-81,1992-93,1980-90s,0.535,1.1161,95,18.81,,,,,,,,,,,0.04133857260750601,49,3,3
Patrick Ewing,20.5765,9.7294,1.7941,0.9471,2.3941,2.9529,0.5443,0.4954,0.7332,34.0235,1183,17,1985-86,2001-02,1980-90s,0.535,1.0174,95,21.66,-3.19,0.455,-2.73,-6.12,-3.374,9.785,20.747,,,2.0,0.017254646936510784,50,3,3
Tim Duncan,18.8895,10.7684,3.0105,0.7474,2.1579,2.4105,0.5492,0.5044,0.7012,33.8789,1392,19,1997-98,2015-16,2000s,0.535,1.0265,93,20.31,2.308,4.909,7.216,8.185,1.24,25.125,29.177,-1.111,-1.18,16.0,-0.04809225307589275,51,3,3
Carmelo Anthony,22.3714,6.2571,2.6619,0.9429,0.5286,2.3619,0.5417,0.4437,0.8136,34.4048,1337,21,2003-04,2021-22,2010s+,0.565,0.9588,99,22.6,2.275,-1.133,1.141,1.746,-0.574,28.821,32.675,0.041,1.758,18.0,-0.05616343833645844,52,0,4
Isiah Thomas,19.0077,3.5077,9.1846,1.8846,0.2462,3.7615,0.5137,0.4498,0.7595,36.0769,979,13,1981-82,1993-94,1980-90s,0.535,0.9602,95,20.01,,,,,,,,,,,-0.08825178979832077,53,0,4
Pete Maravich,22.225,3.6583,4.7833,1.1778,0.2333,3.0,0.5004,0.4428,0.8334,34.375,701,12,1970-71,1979-80,1970s,0.51,0.9812,107,20.77,,,,,,,,,,,-0.10140262708662344,54,0,4
Jimmy Butler,18.3368,5.3158,4.4737,1.6211,0.4368,1.5579,0.5921,0.4746,0.8362,32.6421,1027,19,2011-12,2025-26,2010s+,0.565,1.048,99,18.52,2.062,1.097,3.159,6.507,3.001,30.749,28.422,3.415,0.444,14.0,-0.12317891320889868,55,3,3
Paul Arizin,22.79,8.64,2.33,1.1663999999999999,0.6007,2.6348,0.5062,0.4207,0.8084,38.5111,713,10,1950-51,1961-62,1950-60s,0.48,1.0546,120,18.99,,,,,,,,,,,-0.12416016026152654,56,3,3
Dwyane Wade,20.6944,4.5278,5.1556,1.4722,0.8167,3.05,0.5435,0.4735,0.7563,32.6556,1121,18,2003-04,2018-19,2010s+,0.565,0.9619,99,20.9,3.249,0.039,3.289,4.453,0.819,34.169,33.055,-0.98,1.36,16.0,-0.13715635630403372,57,0,4
John Stockton,13.0579,2.7,10.4368,2.1579,0.2263,2.8,0.6037,0.5125,0.8231,31.6684,1504,19,1984-85,2002-03,1980-90s,0.535,1.1284,95,13.75,3.2,1.887,5.083,10.784,6.155,29.114,21.383,,,3.0,-0.1408298334693287,58,1,2
Nate Archibald,18.2308,2.3,7.2615,1.15,0.13,2.6667,0.5391,0.4647,0.7895,35.0385,876,13,1970-71,1983-84,1970s,0.51,1.0571,107,17.04,,,,,,,,,,,-0.15191890376099138,59,1,2
Russell Westbrook,20.425,6.795,7.87,1.51,0.35,3.835,0.5247,0.4399,0.7434,32.61,1374,20,2008-09,2025-26,2010s+,0.565,0.9287,99,20.63,2.782,-0.218,2.567,2.446,-3.221,38.959,30.53,-2.704,0.855,18.0,-0.1714873484946538,60,0,4
Bob McAdoo,20.01,8.535,2.265,0.9737,1.2842,2.5385,0.5338,0.4903,0.732,31.345,1000,20,1972-73,1985-86,1970s,0.51,1.0467,107,18.7,,,,,,,,,,,-0.18474128065955636,61,3,3
