player,PPG,PPG_z,TS_pct,TS_plus,TS_plus_z,APG,APG_z,RPG,RPG_z,SPG,BPG,TOV,MPG,GP,seasons,first_year,last_year,peak_PPG,peak_PPG_z,peak_TS_z,peak_APG_z,peak_seasons,longevity,longevity_norm,o_dpm,d_dpm,dpm,onoff,rTS,PtsCreated,db_seasons,peak_score,career_score,total_score,rank,L2_dpm_z,L2_onoff_z,L2_score,L2_rank
Jayson Tatum,23.3222,0.212,0.5731,0.9704,-0.2866,3.8556,-0.7,7.6111,0.4261,1.1222,0.5889,2.3667,34.1778,595,9,2017,2025,27.42,0.6198,-0.2286,-0.5066,5,2.1109520256480216,0.34359555367638306,3.28,0.568,3.842,6.023,0.941,33.547,8.0,-0.4352023064699493,-0.04870730020457756,-0.1634942325610713,71,0.48592247393978577,0.27554401688258895,0.13904396435274538,28
Shai Gilgeous-Alexander,25.45,0.48,0.6087,1.0259,0.4059,5.3875,-0.1079,4.7625,-0.6932,1.3875,0.8,2.3625,33.3375,524,8,2018,2025,30.02,1.0083,0.5861,0.1146,5,2.0001607388050613,0.26805843393310674,2.786,-0.056,2.729,4.552,3.312,38.908,8.0,0.4435577188260643,0.6944668864303754,0.48373061212876617,26,-0.14657340671146438,-0.1558175659815563,0.11154346722469005,29
Tracy McGrady,17.0706,-0.2708,0.5042,0.9043,-1.2332,4.1,-0.1347,5.0412,-0.4356,1.0588,0.7765,1.9706,30.0,968,17,1997,2011,27.64,1.2812,-0.3513,0.3232,5,2.549826195887316,0.6428184591435476,3.008,-0.232,2.777,4.583,-2.062,31.415,12.0,-0.036440321164303346,-1.1594951618648137,-0.2375050173128862,77,-0.1192959563329738,-0.146727009170687,0.05249740674538898,30
Kyrie Irving,24.3562,0.5091,0.5882,1.0088,0.1294,5.6188,0.1968,4.2875,-0.7814,1.2938,0.4875,2.4375,34.8625,839,16,2011,2024,25.38,0.7445,0.2361,0.3555,5,2.418740788991054,0.5534448778857158,3.726,-0.943,2.784,3.799,2.594,37.211,14.0,-0.005448804219557284,0.5086639643666626,0.2605637627773633,39,-0.1153179948194441,-0.3766301233552485,-0.0008670888056069442,31
Ray Allen,19.285,0.0586,0.5804,1.0428,0.6632,3.51,-0.3691,4.155,-0.7485,1.155,0.18,2.15,35.965,1376,20,1996,2013,23.98,0.677,0.405,-0.042,5,2.8781016653043503,0.8666355493564533,3.494,-1.538,1.955,4.498,5.235,26.608,14.0,0.06751469449359841,0.5459866414410619,0.37088044955040844,33,-0.5864222940646249,-0.17165272945855398,-0.016675715891728088,32
Chris Bosh,19.3923,0.0759,0.5692,1.0092,0.1812,2.0462,-0.9543,8.4385,0.8212,0.8154,1.0154,2.0308,35.7231,893,13,2003,2015,21.62,0.5656,0.145,-0.805,5,2.475718223733594,0.592291897660046,1.328,0.945,2.276,5.192,2.977,24.104,13.0,-0.20364517698443044,0.19484711721973202,0.07508992620571359,55,-0.40400434465846935,0.03185844559767768,-0.05746478784132521,33
Yao Ming,18.5625,-0.2493,0.5937,1.0585,0.9471,1.55,-1.2627,8.9125,0.8339,0.3625,1.85,2.6125,31.175,486,8,2002,2010,21.3,0.1367,0.9668,-1.2073,5,1.9354021714568983,0.2239062646103074,-0.076,2.801,2.727,3.642,5.86,23.666,7.0,0.07724354363372576,0.5101680737513494,0.23645344686432918,40,-0.1477099671439016,-0.4226693949457793,-0.06089255312014714,34
Vince Carter,16.6,-0.3166,0.5286,0.9401,-0.7717,2.9885,-0.5596,4.2269,-0.7383,1.0077,0.5654,1.6462,30.0538,1691,26,1998,2019,26.0,0.988,-0.2263,-0.1302,5,3.0737090588099547,1.0,1.223,0.206,1.429,5.644,-1.214,22.46,20.0,-0.16189333573153078,-0.8471178861323267,-0.1350820337054634,69,-0.8853376877955841,0.16440462877551154,-0.08128838130303212,35
Dwight Howard,15.3889,-0.6271,0.6095,1.067,0.9466,1.2889,-1.302,11.5278,1.9167,0.8667,1.6778,2.5778,31.1,1242,18,2004,2021,20.16,0.3929,0.9647,-0.9895,5,2.7816934892327003,0.800904785253339,0.041,1.699,1.738,3.206,5.766,18.756,17.0,0.26472716678664154,0.20187284392044502,0.3531063936201221,35,-0.7097391009840511,-0.5505236778341324,-0.08342735877538154,36
Donovan Mitchell,25.2667,0.4421,0.5753,0.9735,-0.3116,4.8889,-0.2863,4.3556,-0.8293,1.3889,0.3111,2.7,33.8444,604,9,2017,2025,26.46,0.5673,-0.1966,-0.3055,5,2.1241583804616324,0.3525996011367389,3.786,-0.251,3.537,2.943,0.388,37.256,9.0,-0.45067536827980337,0.11988593988036045,-0.11885198194844578,68,0.31259700799312684,-0.6276467888424737,-0.09643294562714992,37
