player,PPG,TS_pct,APG,RPG,TOV,FTR,MPG,GP,FGA,seasons,peak_PPG,PtsCreated,PtsCreated100,o_dpm,dpm,onoff,predicted_PtsC,rank
Klay Thompson,18.5462,0.5682,2.2538,3.4077,1.5692,0.1215,31.1,929,15.4154,13,21.9,23.656,36.912,1.481,0.922,3.439,24.007192056267534,73
David Robinson,20.4929,0.5758,2.3714,10.4357,2.35,0.587,33.8429,987,14.0357,14,26.46,14.359,26.776,0.213,4.263,7.777,23.891812948758904,74
James Worthy,17.7167,0.5571,3.0667,5.1083,2.0167,0.243,32.6,926,14.3833,12,20.58,,,,,,23.83896131622246,75
Tim Duncan,18.8895,0.5492,3.0105,10.7684,2.4105,0.4051,33.8789,1392,14.5158,19,23.3,25.125,40.192,2.308,7.216,8.185,23.835548976935144,76
Dave Cowens,17.1455,0.4948,3.7818,13.2091,2.025,0.2094,37.9091,766,15.8545,11,19.54,,,,,,23.557422736446366,77
Vince Carter,16.6,0.5286,2.9885,4.2269,1.6462,0.2538,30.0538,1691,13.8923,26,26.14,22.46,37.682,1.223,1.429,5.644,23.38976174341895,78
Kevin Garnett,16.1652,0.5388,3.3739,9.3435,1.9565,0.2599,32.213,1509,13.2304,23,22.94,24.482,38.451,1.856,5.452,10.782,23.29781861733194,79
Elvin Hayes,20.95,0.4922,1.8438,12.475,2.3857,0.3313,38.3625,1303,18.6062,16,26.7,,,,,,22.49530926329563,80
Chris Bosh,19.3923,0.5692,2.0462,8.4385,2.0308,0.4328,35.7231,893,14.2462,13,22.82,24.104,35.394,1.328,2.276,5.192,22.286255139942988,81
Patrick Ewing,20.5765,0.5443,1.7941,9.7294,2.9529,0.3862,34.0235,1183,16.0176,17,25.58,9.785,25.793,-3.19,-2.73,-6.12,22.250367051999064,82
Jerry Lucas,16.2308,0.5432,3.1308,15.0846,2.6348,0.2817,37.7,896,13.2077,13,20.38,,,,,,21.774663224512977,83
Kevin McHale,17.8692,0.5971,1.7615,7.3231,1.9462,0.3569,31.0154,971,12.7154,13,22.68,,,,,,21.558308885453542,84
Manu Ginobili,13.15,0.5805,3.7812,3.4812,1.9875,0.3847,25.1375,1057,9.5875,16,17.18,21.666,43.968,2.399,3.723,6.05,21.184679734407105,85
Bill Sharman,17.5,0.4953,2.8636,3.8818,2.6348,0.3229,31.91,711,15.4909,11,20.6,,,,,,20.76508297877391,86
Pau Gasol,15.5136,0.5521,2.9955,8.5182,1.9318,0.3972,30.9455,1322,11.6682,22,19.6,24.8,37.809,0.871,1.102,2.839,20.650905404599044,87
Sam Jones,17.4,0.4988,2.5083,4.9,2.6348,0.2665,27.475,871,15.5333,12,22.5,,,,,,20.61597753851235,88
Dolph Schayes,17.7333,0.4803,3.0267,11.6571,2.6348,0.5077,33.1231,996,14.9067,15,22.96,,,,,,20.409309306234686,89
Yao Ming,18.5625,0.5937,1.55,8.9125,2.6125,0.4593,31.175,486,12.9625,8,21.46,23.666,37.934,-0.076,2.727,3.642,20.268992568244666,90
Draymond Green,8.6071,0.5337,5.7714,6.8214,2.3857,0.2643,28.7214,942,7.1143,14,11.18,22.301,36.115,-0.548,2.325,6.822,20.145771813316536,91
Bill Russell,15.1154,0.4706,4.1615,22.3769,2.6348,0.4451,42.0615,963,13.4769,13,17.5,,,,,,20.05859789298416,92
Willis Reed,17.59,0.5159,1.82,12.09,2.6348,0.3117,34.47,650,14.89,10,21.08,,,,,,18.843925263028144,93
Moses Malone,17.7905,0.5546,1.1857,10.9381,2.8278,0.6002,30.0952,1411,12.5476,21,26.82,,,,,,18.045237944464485,94
Bill Walton,12.7,0.5398,3.25,10.0,2.6571,0.373,27.34,468,10.16,10,16.32,,,,,,17.81145105140462,95
Dave DeBusschere,15.6786,0.4705,2.7286,10.8786,2.6348,0.2854,35.2143,951,14.7714,14,17.46,,,,,,17.780256288611344,96
Wes Unseld,10.6385,0.5347,3.8538,13.8462,1.9,0.3311,36.2692,984,8.6308,13,13.92,,,,,,17.619155494388142,97
Robert Parish,14.2095,0.5637,1.3429,8.9762,2.055,0.3104,27.9143,1611,10.9286,21,19.14,,,,,,16.14421893559538,98
Dwight Howard,15.3889,0.6095,1.2889,11.5278,2.5778,0.7616,31.1,1242,9.5,18,20.62,18.756,30.031,0.041,1.738,3.206,16.119172959128445,99
Nate Thurmond,13.75,0.4622,2.5438,13.9625,2.6348,0.387,34.9812,1042,12.475,16,21.06,,,,,,15.693204883612452,100
Dennis Rodman,6.7143,0.5254,1.7357,13.3714,1.6286,0.3899,31.7429,911,5.3786,14,9.48,,,,,,7.7527326227357065,101
