nba_id,year,player_name,GamesPlayed,Minutes,Pos2,TeamAbbreviation,playoffs,TS_pct,d_Points_Per100,d_Points_PerGame,rTSPct,d_Points_Created_Per100,d_Points_Created_PerGame,dpm,o_dpm,d_Assists_Per100,d_Assists_PerGame,d_dpm,netrtg_on_off,PASSING_on-ball-time%,SFC_pct,playtype_diff,pt_adj_rTS
959,2005,Steve Nash,75,2569,PG,PHX,0,0.597,22.551,15.533,6.754,61.382,42.28,4.31,4.96,16.667,11.48,-0.65,14.509,,,,
977,2005,Kobe Bryant,66,2690,SG,LAL,0,0.557,35.465,27.561,2.786,53.987,41.955,3.09,4.88,7.76,6.03,-1.79,1.953,,,,
1495,2005,Tim Duncan,66,2206,PF,SAS,0,0.537,33.087,20.333,0.823,43.047,26.455,9.77,4.58,4.413,2.712,5.19,18.248,,,,
1503,2005,Tracy McGrady,78,3191,SF,HOU,0,0.525,33.726,25.679,-0.384,51.002,38.833,4.91,5.1,7.543,5.744,-0.19,0.909,,,,
1713,2005,Vince Carter,77,2838,"SF,SG",NJN,0,0.537,34.978,24.494,0.758,48.72,34.117,4.14,3.46,6.065,4.247,0.68,3.183,,,,
1717,2005,Dirk Nowitzki,78,3028,PF,DAL,0,0.573,34.552,26.051,4.353,43.598,32.872,6.71,5.09,4.081,3.077,1.62,13.695,,,,
1718,2005,Paul Pierce,82,2964,SF,BOS,0,0.573,30.516,21.573,4.42,44.006,31.11,4.41,3.54,6.003,4.244,0.87,7.569,,,,
1938,2005,Manu Ginobili,74,2201,SG,SAS,0,0.601,29.104,16.027,7.245,44.736,24.635,5.4,4.19,7.067,3.892,1.21,17.731,,,,
2200,2005,Pau Gasol,56,1783,PF,MEM,0,0.58,30.185,17.804,5.065,40.085,23.643,2.3,1.74,4.087,2.411,0.56,3.064,,,,
2225,2005,Tony Parker,80,2736,PG,SAS,0,0.527,26.139,16.638,-0.25,48.35,30.775,1.16,1.86,9.623,6.125,-0.7,3.273,,,,
2397,2005,Yao Ming,80,2460,C,HOU,0,0.611,31.614,18.312,8.193,34.678,20.088,3.13,0.53,1.316,0.762,2.6,-6.596,,,,
2544,2005,LeBron James,80,3384,SF,CLE,0,0.55,34.236,27.188,2.131,53.66,42.612,3.97,3.86,9.082,7.212,0.11,8.856,,,,
2546,2005,Carmelo Anthony,75,2610,SF,DEN,0,0.517,30.353,20.773,-1.206,38.184,26.133,0.48,1.46,3.779,2.587,-0.98,2.792,,,,
2547,2005,Chris Bosh,81,3014,PF,TOR,0,0.543,23.381,16.802,1.366,29.789,21.407,0.04,0.23,2.628,1.889,-0.19,5.288,,,,
2548,2005,Dwyane Wade,77,2978,SG,MIA,0,0.557,32.745,24.078,2.808,53.886,39.623,3.46,3.65,9.184,6.753,-0.19,-0.747,,,,
2730,2005,Dwight Howard,82,2679,PF,ORL,0,0.564,18.565,11.963,3.544,21.593,13.915,-0.24,0.14,1.419,0.915,-0.37,-1.524,,,,
56,2006,Gary Payton,81,2305,PG,MIA,0,0.516,14.273,7.728,-2.016,27.679,14.988,-1.05,-0.44,5.86,3.173,-0.61,-3.231,,,,
406,2006,Shaquille O'Neal,59,1806,C,MIA,0,0.589,34.192,20.017,5.332,42.038,24.61,4.96,1.87,3.272,1.915,3.08,5.599,,,,
467,2006,Jason Kidd,80,2976,PG,NJN,0,0.519,18.85,13.312,-1.654,44.407,31.362,4.87,2.32,11.894,8.4,2.55,12.201,,,,
708,2006,Kevin Garnett,76,2958,PF,MIN,0,0.584,30.391,21.789,4.798,42.375,30.382,7.47,4.09,5.652,4.053,3.38,11.21,,,,
947,2006,Allen Iverson,72,3103,PG,PHI,0,0.54,39.153,33.014,0.425,58.409,49.25,2.89,3.89,8.763,7.389,-1.0,7.874,,,,
951,2006,Ray Allen,78,3022,SG,SEA,0,0.585,33.917,25.064,4.91,44.934,33.205,3.53,5.74,4.962,3.667,-2.2,8.008,,,,
959,2006,Steve Nash,79,2796,PG,PHX,0,0.628,26.623,18.848,9.167,60.129,42.57,4.99,5.61,14.768,10.456,-0.62,9.325,,,,
977,2006,Kobe Bryant,80,3277,SG,LAL,0,0.555,45.124,35.4,1.934,58.413,45.825,3.68,5.38,5.736,4.5,-1.7,13.373,,,,
1495,2006,Tim Duncan,80,2784,PF,SAS,0,0.523,29.152,18.562,-1.348,40.361,25.7,8.87,3.65,4.967,3.162,5.23,5.999,,,,
1503,2006,Tracy McGrady,47,1745,SF,HOU,0,0.493,35.5,24.404,-4.317,51.284,35.255,3.48,3.53,6.964,4.787,-0.05,5.498,,,,
1713,2006,Vince Carter,79,2906,SG,NJN,0,0.532,34.802,24.19,-0.362,48.589,33.772,3.68,3.2,6.156,4.278,0.48,14.966,,,,
1717,2006,Dirk Nowitzki,81,3089,PF,DAL,0,0.585,37.896,26.556,4.87,46.741,32.753,7.21,5.8,3.982,2.79,1.41,9.998,,,,
1718,2006,Paul Pierce,79,3085,SF,BOS,0,0.575,35.444,26.785,3.893,49.615,37.494,4.48,4.61,6.281,4.747,-0.13,3.004,,,,
1938,2006,Manu Ginobili,65,1813,SG,SAS,0,0.584,28.981,15.092,4.796,44.815,23.338,4.97,3.73,6.942,3.615,1.23,7.355,,,,
2200,2006,Pau Gasol,80,3135,PF,MEM,0,0.55,28.896,20.35,1.363,45.154,31.8,3.01,2.01,6.585,4.638,1.0,4.442,,,,
2225,2006,Tony Parker,80,2715,PG,SAS,0,0.585,30.038,18.875,4.882,51.223,32.188,1.73,2.48,9.151,5.75,-0.74,8.024,,,,
2397,2006,Yao Ming,57,1949,C,HOU,0,0.594,35.062,22.298,5.773,40.579,25.807,2.41,-0.32,2.345,1.491,2.72,6.493,,,,
2544,2006,LeBron James,79,3361,SF,CLE,0,0.568,39.302,31.367,3.166,58.176,46.43,5.39,5.14,8.263,6.595,0.26,9.933,,,,
2546,2006,Carmelo Anthony,80,2941,SF,DEN,0,0.558,36.681,26.525,2.153,44.892,32.462,1.37,2.09,3.734,2.7,-0.71,-1.571,,,,
2547,2006,Chris Bosh,70,2751,C,TOR,0,0.584,30.213,22.457,4.795,38.439,28.571,1.83,2.09,3.479,2.586,-0.26,5.78,,,,
2548,2006,Dwyane Wade,75,2893,SG,MIA,0,0.573,36.81,27.2,3.685,57.867,42.76,5.14,4.62,9.076,6.707,0.53,15.846,,,,
2730,2006,Dwight Howard,82,3021,PF,ORL,0,0.562,23.313,15.756,2.623,28.275,19.11,0.76,1.18,2.256,1.524,-0.41,5.307,,,,
101108,2006,Chris Paul,78,2809,PG,NOK,0,0.537,23.7,16.128,0.11,48.625,33.09,2.44,2.0,11.511,7.833,0.44,-1.501,,,,
56,2007,Gary Payton,68,1503,PG,MIA,0,0.454,12.999,5.265,-8.729,29.63,12.0,-2.67,-1.84,7.298,2.956,-0.83,-9.155,,,,
406,2007,Shaquille O'Neal,40,1135,C,MIA,0,0.567,33.593,17.25,2.643,42.746,21.95,3.58,0.62,3.846,1.975,2.96,3.172,,,,
467,2007,Jason Kidd,80,2933,PG,NJN,0,0.508,18.494,13.012,-3.33,47.842,33.662,3.82,1.7,13.075,9.2,2.12,6.826,,,,
708,2007,Kevin Garnett,76,2995,PF,MIN,0,0.539,30.117,22.421,-0.175,42.418,31.579,7.13,3.83,5.532,4.118,3.3,14.771,,,,
947,2007,Allen Iverson,65,2761,"PG,SG",DEN,0,0.537,30.876,26.292,-0.397,49.846,42.446,1.14,2.49,8.455,7.2,-1.35,0.951,,,,
951,2007,Ray Allen,55,2219,SG,SEA,0,0.56,34.091,26.436,1.909,45.955,35.636,3.22,5.37,5.346,4.145,-2.15,4.426,,,,
959,2007,Steve Nash,76,2682,PG,PHX,0,0.646,26.284,18.579,10.504,62.863,44.434,5.49,5.83,16.456,11.632,-0.34,11.958,,,,
977,2007,Kobe Bryant,77,3140,SG,LAL,0,0.575,39.308,31.558,3.436,54.901,44.078,3.63,5.27,6.681,5.364,-1.64,6.231,,,,
1495,2007,Tim Duncan,80,2726,C,SAS,0,0.579,31.576,19.988,3.793,43.839,27.75,9.91,4.52,5.391,3.412,5.4,15.702,,,,
1503,2007,Tracy McGrady,71,2539,SG,HOU,0,0.517,36.14,24.606,-2.4,58.233,39.648,4.7,4.93,9.475,6.451,-0.23,7.508,,,,
1713,2007,Vince Carter,82,3126,SG,NJN,0,0.555,34.714,25.244,1.41,49.908,36.293,3.42,3.42,6.591,4.793,0.0,6.935,,,,
1717,2007,Dirk Nowitzki,78,2821,PF,DAL,0,0.597,36.551,24.564,5.594,48.073,32.308,7.97,6.5,5.017,3.372,1.47,13.455,,,,
1718,2007,Paul Pierce,47,1740,SG,BOS,0,0.561,34.776,24.957,2.027,47.406,34.021,4.06,4.57,5.752,4.128,-0.51,5.98,,,,
1938,2007,Manu Ginobili,75,2061,SG,SAS,0,0.606,31.828,16.533,6.495,46.92,24.373,5.47,3.79,6.751,3.507,1.68,10.528,,,,
